Title,Album,Era,Lead vocal,Highest chart position,Words in Title,Cover,Names,Adjective,Punctuation,Image
You've Really Got a Hold on Me,With The Beatles,Beatlemania (1963-1965),John,100+,7,1​,0,1​,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
I Want You (She's So Heavy),Abbey Road,Late Beatles (1968-1970),John,100+,6,0,0,1​,1​,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
I'm So Tired,White Album,Late Beatles (1968-1970),John,100+,3,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
"Long, Long, Long",White Album,Late Beatles (1968-1970),George,100+,3,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Maxwell's Silver Hammer,Abbey Road,Late Beatles (1968-1970),Paul,100+,3,0,1​,1​,1​,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Mean Mr. Mustard,Abbey Road,Late Beatles (1968-1970),John,100+,3,0,1​,1​,1​,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Oh! Darling,Abbey Road,Late Beatles (1968-1970),Paul,100+,2,0,0,1​,1​,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
"Baby, You're a Rich Man",Magical Mystery Tour,Studio (1966-1967),"John, Paul",34,5,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
"Good Morning, Good Morning",Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,100+,4,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Sgt. Pepper's Lonely Hearts Club Band,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,71,6,0,1​,1​,1​,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),"John, Paul, George",71,7,0,1​,1​,1​,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
When I'm Sixty-Four,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,3,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Anna (Go to Him),Please Please Me,Beatlemania (1963-1965),John,100+,4,1​,1​,0,1​,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Do You Want to Know a Secret?,Please Please Me,Beatlemania (1963-1965),George,2,7,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Everybody's Trying to Be My Baby,Beatles For Sale,Beatlemania (1963-1965),George,100+,6,1​,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
Help!,Help!,Beatlemania (1963-1965),John,1,1,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
I'll Cry Instead,A Hard Day's Night,Beatlemania (1963-1965),John,25,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
I'll Follow the Sun,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
I've Just Seen a Face,Help!,Beatlemania (1963-1965),Paul,100+,5,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
It's Only Love,Help!,Beatlemania (1963-1965),John,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
Please Mr. Postman,With The Beatles,Beatlemania (1963-1965),John,100+,3,1​,1​,0,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
There's a Place,Please Please Me,Beatlemania (1963-1965),"John, Paul",74,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
You're Going to Lose That Girl,Help!,Beatlemania (1963-1965),John,100+,6,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
Everybody's Got Something to Hide Except Me and My Monkey,White Album,Late Beatles (1968-1970),John,100+,10,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Mother Nature's Son,White Album,Late Beatles (1968-1970),Paul,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Octopus's Garden,Abbey Road,Late Beatles (1968-1970),Ringo,100+,2,0,0,0,1​,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Being for the Benefit of Mr. Kite!,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,100+,7,0,1​,0,1​,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
"Here, There and Everywhere",Revolver,Studio (1966-1967),Paul,100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
I'm Only Sleeping,Revolver,Studio (1966-1967),John,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
It's All Too Much,Yellow Submarine,Studio (1966-1967),George,100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
She's Leaving Home,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
All I've Got to Do,With The Beatles,Beatlemania (1963-1965),John,100+,5,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Baby It's You,Please Please Me,Beatlemania (1963-1965),John,67,3,1​,0,0,1​,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Can't Buy Me Love,A Hard Day's Night,Beatlemania (1963-1965),Paul,1,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Don't Bother Me,With The Beatles,Beatlemania (1963-1965),George,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Honey Don't,Beatles For Sale,Beatlemania (1963-1965),Ringo,100+,2,1​,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
I Don't Want to Spoil the Party,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",39,7,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
I'll Be Back,A Hard Day's Night,Beatlemania (1963-1965),John,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
I'll Get You,Single,Beatlemania (1963-1965),"John, Paul",100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I'm a Loser,Beatles For Sale,Beatlemania (1963-1965),John,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
I'm Looking Through You,Rubber Soul,Beatlemania (1963-1965),Paul,100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
"Kansas City/Hey, Hey, Hey, Hey",Beatles For Sale,Beatlemania (1963-1965),Paul,100+,5,1​,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
Money (That's What I Want),With The Beatles,Beatlemania (1963-1965),John,100+,5,1​,0,0,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Mr. Moonlight,Beatles For Sale,Beatlemania (1963-1965),John,100+,2,1​,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
She's a Woman,Single,Beatlemania (1963-1965),Paul,4,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
What You're Doing,Beatles For Sale,Beatlemania (1963-1965),Paul,100+,3,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
You Can't Do That,A Hard Day's Night,Beatlemania (1963-1965),John,48,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
You Won't See Me,Rubber Soul,Beatlemania (1963-1965),Paul,100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
You've Got to Hide Your Love Away,Help!,Beatlemania (1963-1965),John,100+,7,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
P.S. I Love You,Please Please Me,Early (<=1962),Paul,10,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Back in the U.S.S.R.,White Album,Late Beatles (1968-1970),Paul,100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Don't Let Me Down,Single,Late Beatles (1968-1970),John,35,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Don't Pass Me By,White Album,Late Beatles (1968-1970),Ringo,100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
I've Got a Feeling,Let It Be,Late Beatles (1968-1970),"John, Paul",100+,4,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
"Ob-La-Di, Ob-La-Da",White Album,Late Beatles (1968-1970),Paul,48,2,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Why Don't We Do It in the Road?,White Album,Late Beatles (1968-1970),Paul,100+,8,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
"Hello, Goodbye",Magical Mystery Tour,Studio (1966-1967),Paul,1,2,0,0,0,1​,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
You Know My Name (Look Up the Number),Single,Studio (1966-1967),"John, Paul",100+,8,0,0,0,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
A Hard Day's Night,A Hard Day's Night,Beatlemania (1963-1965),"John, Paul",1,4,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Baby's in Black,Beatles For Sale,Beatlemania (1963-1965),"John, Paul",100+,3,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
